countdowns,strikes,weighted_avg_price,total_open_interest
4,56000.0,70000.0,12.49
4,60000.0,70000.0,10.17
4,62000.0,70000.0,1.44
4,64000.0,70000.0,12.77
4,66000.0,70000.0,33.22
4,68000.0,70000.0,12.76
4,69000.0,70000.0,8.8
4,70000.0,70000.0,14.78
4,71000.0,70000.0,18.97
4,72000.0,70000.0,40.79
4,73000.0,70000.0,29.82
4,74000.0,70000.0,3.87
4,76000.0,70000.0,8.12
4,78000.0,70000.0,29.91
4,80000.0,70000.0,26.83
4,82000.0,70000.0,29.27
4,88000.0,70000.0,0.84
11,58000.0,70000.0,1.18
11,60000.0,70000.0,0.02
11,62000.0,70000.0,0.1
11,64000.0,70000.0,0.15
11,67000.0,70000.0,4.11
11,68000.0,70000.0,3.19
11,72000.0,70000.0,1.67
11,74000.0,70000.0,3.45
11,78000.0,70000.0,1.71
11,80000.0,70000.0,8.04
11,84000.0,70000.0,5.76
18,15000.0,70000.0,2.25
18,19000.0,70000.0,0.01
18,20000.0,70000.0,13.83
18,24000.0,70000.0,0.01
18,25000.0,70000.0,22.61
18,26000.0,70000.0,2.8
18,30000.0,70000.0,3.36
18,31000.0,70000.0,12.85
18,32000.0,70000.0,2.04
18,33000.0,70000.0,3.54
18,34000.0,70000.0,1.5
18,35000.0,70000.0,14.71
18,36000.0,70000.0,4.0
18,37000.0,70000.0,8.57
18,38000.0,70000.0,6.55
18,39000.0,70000.0,16.5
18,40000.0,70000.0,38.57
18,41000.0,70000.0,108.55
18,42000.0,70000.0,115.07
18,43000.0,70000.0,117.82
18,44000.0,70000.0,92.2
18,45000.0,70000.0,136.7
18,46000.0,70000.0,73.51
18,47000.0,70000.0,48.65
18,48000.0,70000.0,52.88
18,49000.0,70000.0,11.14
18,50000.0,70000.0,166.19
18,51000.0,70000.0,30.21
18,52000.0,70000.0,32.66
18,53000.0,70000.0,46.4
18,54000.0,70000.0,22.99
18,55000.0,70000.0,114.64
18,56000.0,70000.0,51.26
18,57000.0,70000.0,25.61
18,58000.0,70000.0,29.16
18,60000.0,70000.0,137.82
18,65000.0,70000.0,168.04
18,70000.0,70000.0,197.6
18,75000.0,70000.0,159.45
18,80000.0,70000.0,159.76
18,85000.0,70000.0,104.02
18,90000.0,70000.0,85.52
18,95000.0,70000.0,64.48
18,100000.0,70000.0,39.69
18,105000.0,70000.0,46.91
18,110000.0,70000.0,28.86
18,115000.0,70000.0,44.44
18,120000.0,70000.0,92.06
46,40000.0,70000.0,49.91
46,50000.0,70000.0,222.68
46,54000.0,70000.0,62.42
46,58000.0,70000.0,14.06
46,67000.0,70000.0,30.57
46,70000.0,70000.0,47.61
46,78000.0,70000.0,57.59
46,82000.0,70000.0,48.74
46,90000.0,70000.0,263.68
46,105000.0,70000.0,12.62
81,54000.0,70000.0,43.5
81,70000.0,70000.0,2.05
81,75000.0,70000.0,0.27
81,80000.0,70000.0,0.76
81,84000.0,70000.0,0.58
81,95000.0,70000.0,4.26
81,110000.0,70000.0,7.6
109,26000.0,70000.0,0.02
109,27000.0,70000.0,0.03
109,30000.0,70000.0,0.88
109,31000.0,70000.0,2.01
109,33000.0,70000.0,1.14
109,34000.0,70000.0,2.64
109,35000.0,70000.0,6.34
109,36000.0,70000.0,5.64
109,37000.0,70000.0,4.14
109,38000.0,70000.0,4.5
109,39000.0,70000.0,6.0
109,41000.0,70000.0,7.5
109,42000.0,70000.0,6.0
