countdowns,strikes,weighted_avg_price,total_open_interest
4,54000.0,70000.0,0.83
4,56000.0,70000.0,11.1
4,60000.0,70000.0,20.08
4,62000.0,70000.0,14.46
4,64000.0,70000.0,21.01
4,66000.0,70000.0,23.28
4,68000.0,70000.0,5.31
4,69000.0,70000.0,9.78
4,70000.0,70000.0,23.11
4,71000.0,70000.0,7.78
4,72000.0,70000.0,25.68
4,73000.0,70000.0,2.16
4,74000.0,70000.0,0.1
4,80000.0,70000.0,0.48
4,82000.0,70000.0,15.51
11,54000.0,70000.0,0.73
11,58000.0,70000.0,1.62
11,60000.0,70000.0,2.95
11,62000.0,70000.0,0.94
11,64000.0,70000.0,1.31
11,68000.0,70000.0,2.09
11,72000.0,70000.0,0.76
11,74000.0,70000.0,2.96
11,78000.0,70000.0,0.02
11,80000.0,70000.0,1.24
11,84000.0,70000.0,3.02
18,15000.0,70000.0,220.92
18,19000.0,70000.0,47.64
18,20000.0,70000.0,25.41
18,21000.0,70000.0,36.03
18,22000.0,70000.0,51.32
18,23000.0,70000.0,45.34
18,24000.0,70000.0,29.21
18,25000.0,70000.0,36.8
18,26000.0,70000.0,36.26
18,27000.0,70000.0,30.39
18,28000.0,70000.0,15.4
18,29000.0,70000.0,33.11
18,30000.0,70000.0,62.69
18,31000.0,70000.0,37.97
18,32000.0,70000.0,43.98
18,33000.0,70000.0,26.47
18,34000.0,70000.0,21.75
18,35000.0,70000.0,116.74
18,36000.0,70000.0,17.25
18,37000.0,70000.0,61.92
18,38000.0,70000.0,56.69
18,39000.0,70000.0,67.69
18,40000.0,70000.0,166.73
18,41000.0,70000.0,105.37
18,42000.0,70000.0,115.86
18,43000.0,70000.0,66.78
18,44000.0,70000.0,38.53
18,45000.0,70000.0,49.24
18,46000.0,70000.0,9.2
18,47000.0,70000.0,28.34
18,48000.0,70000.0,51.89
18,49000.0,70000.0,71.63
18,50000.0,70000.0,93.0
18,51000.0,70000.0,140.54
18,52000.0,70000.0,96.72
18,53000.0,70000.0,87.23
18,54000.0,70000.0,44.47
18,55000.0,70000.0,63.76
18,56000.0,70000.0,86.79
18,57000.0,70000.0,91.93
18,58000.0,70000.0,106.05
18,60000.0,70000.0,107.2
18,65000.0,70000.0,135.38
18,70000.0,70000.0,136.52
18,75000.0,70000.0,71.28
18,80000.0,70000.0,40.97
18,85000.0,70000.0,30.92
18,90000.0,70000.0,1.5
18,95000.0,70000.0,1.95
18,100000.0,70000.0,3.63
18,110000.0,70000.0,1.34
46,40000.0,70000.0,48.74
46,50000.0,70000.0,219.14
46,54000.0,70000.0,73.35
46,58000.0,70000.0,34.43
46,67000.0,70000.0,14.45
46,70000.0,70000.0,54.95
46,78000.0,70000.0,7.22
46,82000.0,70000.0,13.98
46,90000.0,70000.0,281.5
46,105000.0,70000.0,7.59
81,45000.0,70000.0,2.25
81,54000.0,70000.0,38.63
81,58000.0,70000.0,2.67
81,70000.0,70000.0,0.05
81,75000.0,70000.0,5.0
81,80000.0,70000.0,12.0
81,84000.0,70000.0,1.5
81,95000.0,70000.0,3.0
81,110000.0,70000.0,6.0
109,15000.0,70000.0,33.28
109,18000.0,70000.0,3.76
109,19000.0,70000.0,24.24
109,20000.0,70000.0,3.62
109,21000.0,70000.0,4.69
109,22000.0,70000.0,9.68
109,23000.0,70000.0,5.88
109,24000.0,70000.0,0.66
109,25000.0,70000.0,4.96
109,26000.0,70000.0,3.46
109,27000.0,70000.0,2.96
109,28000.0,70000.0,26.45
109,29000.0,70000.0,0.72
109,30000.0,70000.0,0.67
109,31000.0,70000.0,1.44
109,32000.0,70000.0,1.26
109,33000.0,70000.0,2.03
109,34000.0,70000.0,2.91
109,35000.0,70000.0,4.31
109,36000.0,70000.0,23.13
109,37000.0,70000.0,14.92
109,38000.0,70000.0,5.93
109,39000.0,70000.0,1.62
109,41000.0,70000.0,1.33
109,42000.0,70000.0,7.62
109,43000.0,70000.0,7.42
109,44000.0,70000.0,2.5
109,45000.0,70000.0,23.62
109,46000.0,70000.0,32.24
109,47000.0,70000.0,1.05
109,48000.0,70000.0,22.73
109,49000.0,70000.0,11.9
109,50000.0,70000.0,8.77
109,51000.0,70000.0,7.58
109,52000.0,70000.0,3.45
109,53000.0,70000.0,6.91
109,54000.0,70000.0,6.0
109,55000.0,70000.0,31.44
109,56000.0,70000.0,1.27
109,57000.0,70000.0,8.08
109,58000.0,70000.0,7.3
109,59000.0,70000.0,8.37
109,60000.0,70000.0,3.37
109,65000.0,70000.0,12.72
109,70000.0,70000.0,12.45
109,75000.0,70000.0,12.98
109,80000.0,70000.0,7.32
109,105000.0,70000.0,1.14
109,110000.0,70000.0,1.14
109,115000.0,70000.0,2.28
109,120000.0,70000.0,2.28
109,130000.0,70000.0,1.14
109,160000.0,70000.0,63.9
200,15000.0,70000.0,13.65
200,20000.0,70000.0,12.22
200,25000.0,70000.0,0.06
200,28000.0,70000.0,0.15
200,29000.0,70000.0,2.21
200,30000.0,70000.0,0.01
200,31000.0,70000.0,0.01
200,35000.0,70000.0,0.21
200,41000.0,70000.0,1.74
200,42000.0,70000.0,0.99
200,45000.0,70000.0,1.2
200,49000.0,70000.0,0.01
200,55000.0,70000.0,0.02
200,56000.0,70000.0,1.02
200,57000.0,70000.0,0.4
200,58000.0,70000.0,1.63
200,59000.0,70000.0,1.32
200,60000.0,70000.0,1.29
200,65000.0,70000.0,0.01
200,160000.0,70000.0,25.29
291,30000.0,70000.0,0.12
291,40000.0,70000.0,0.01
291,55000.0,70000.0,0.02
